SG_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO,TP_REDE,CO_IES,NO_IES,SG_IES,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_DOUT,QT_DOC_EX_PRETA
CE,Croatá,2304236,privada,21847,FACULDADE M-EDUCAR,FAMED,11,11,0,2
CE,Fortaleza,2304400,privada,21906,Faculdade Metropolitana do Ceará,FAMEC,8,8,2,0
CE,Eusébio,2304285,privada,22325,Faculdade Christus,Christus Eusébio,42,42,23,2
CE,Fortaleza,2304400,privada,22329,FACULDADE UNINTA FORTALEZA,,44,44,22,0
CE,Juazeiro do Norte,2307304,privada,22599,FACULDADE CECAPE,,39,39,13,0
CE,Quixeramobim,2311405,privada,22710,FACULDADE PITÁGORAS UNOPAR DE QUIXERAMOBIM,,17,17,12,2
CE,Canindé,2302800,privada,22715,FACULDADE PITÁGORAS UNOPAR DE CANINDÉ,,18,18,12,1
CE,Milhã,2308351,privada,22911,Faculdade  do Sertão Central  EAD,FASEC EAD,17,17,2,1
CE,Crato,2304202,privada,22932,FACULDADE METROPOLITANA DO CARIRI,FAMEC,12,12,0,3
CE,Itapipoca,2306405,privada,22999,Faculdade de Tecnologia e Ciências - FTC Itapipoca,FTC Itapipoca,4,0,0,0
CE,Caucaia,2303709,privada,23000,Faculdade de Tecnologia e Ciências - FTC Caucaia,FTC Caucaia,4,0,0,0
CE,Tianguá,2313401,privada,23023,FACULDADE TECNOLOGICA ANTHROPOS,FATAN,4,4,0,2
CE,Juazeiro do Norte,2307304,privada,23100,FACULDADE ANHANGUERA DE JUAZEIRO DO NORTE,,23,23,14,1
CE,Sobral,2312908,privada,23102,FACULDADE ANHANGUERA DE SOBRAL,,13,13,1,1
CE,Quixadá,2311306,privada,23107,Faculdade Dom Adelio Tomasin,FADAT,43,41,4,3
CE,Fortaleza,2304400,privada,23117,Faculdades FAMEP Unidade Fortaleza  CE,FAMEP,7,7,3,1
CE,Fortaleza,2304400,privada,23218,Faculdade Paraíso Fortaleza,FAP,10,7,2,0
CE,Fortaleza,2304400,privada,23842,FACULDADE SENAC CEARA,SENACCE,13,13,0,0
CE,Crato,2304202,privada,23908,FACULDADE SÃO FRANCISCO DO CEARÁ - CRATO,FASC,7,7,0,0
CE,Camocim,2302602,privada,24381,FACULDADE GEORGINA,FAGEO,14,14,0,1
CE,Ipu,2305803,privada,24391,Faculdade de Educação da Ibiapaba,FAEDI,50,46,3,0
CE,Guaiúba,2304954,privada,24399,Faculdade Escola Sobral de Oliveira,FAESDO,8,8,3,1
CE,Iguatu,2305506,privada,24410,Faculdade Centro Sul,,14,14,1,0
CE,Canindé,2302800,privada,24509,FACULDADE ESTÁCIO DE CANINDÉ,ESTÁCIO CANINDÉ,21,21,16,0
CE,Fortaleza,2304400,privada,25334,Faculdade Cidade Teológica Pentecostal,FCTP,9,9,0,2
CE,Parambu,2310308,privada,25365,Faculdade FAMEP - Unidade Parambu - CE,FAMEP,11,4,0,1
